id,title,uri,filename
104714,Isolation and Transfection of Nicotiana benthamiana Mesophyll Protoplasts for Fluorescent Protein Visualization,isolation-and-transfection-of-nicotiana-benthamian-dihi4b4e,104714.json
104789,Cas9 Protein Purification Protocol,cas9-protein-purification-protocol-dijv4cn6,104789.json
104905,Fluorescent gelatin degradation protocol in 96-well plates,fluorescent-gelatin-degradation-protocol-in-96-wel-diph4dj6,104905.json
104930,SARS-CoV-2 Antiviral Immunofluorescence staining Protocol,sars-cov-2-antiviral-immunofluorescence-staining-p-diqa4dse,104930.json
105161,"Effective polyclonal antibodies against the virulence-associated protein D (vapD) of Helicobacter pylori, obtained from recombinant VapD",effective-polyclonal-antibodies-against-the-virule-dixh4fj6,105161.json
105358,Fixation and Immunostaining,fixation-and-immunostaining-di5n4g5e,105358.json
106443,Viral Enumeration of Microbial Mat Samples Using Wet Mount Epifluorescence Microscopy,viral-enumeration-of-microbial-mat-samples-using-w-dj7j4rkn,106443.json
106444,Viral Enumeration of Water Samples Using Wet Mount Epifluorescence Microscopy,viral-enumeration-of-water-samples-using-wet-mount-dj7k4rkw,106444.json
106445,Viral Enumeration of EPS Samples Using Wet Mount Epifluorescence Microscopy,viral-enumeration-of-eps-samples-using-wet-mount-e-dj7m4rk6,106445.json
106654,Expression and purification of bacterial proteins (via  N-terminal His-tag),expression-and-purification-of-bacterial-proteins-dkd64s9e,106654.json
106752,Isolation of lysosomes using the Tagless LysoIP method in PBMCs,isolation-of-lysosomes-using-the-tagless-lysoip-me-dkg84tzw,106752.json
107046,Western Blot,western-blot-dkse4wbe,107046.json
107099,Fluorescent Gelatin Degradation Assay to Evaluate EVh Action in TME Cells,fluorescent-gelatin-degradation-assay-to-evaluate-dkt34wqn,107099.json
107186,Cell Invasion in Direct Co-Culture,cell-invasion-in-direct-co-culture-dkws4xee,107186.json
107736,Small Scale IPTG Induction | Protein Expression,small-scale-iptg-induction-protein-expression-dmfy43pw,107736.json
10792,Mycobacteria DNA extraction using bead disruption - Manual method,mycobacteria-dna-extraction-using-bead-disruption-nsgdebw,10792.json
108121,High Throughput Flow Cytometry for Viral Enumeration of Aquatic Samples,high-throughput-flow-cytometry-for-viral-enumerati-dmtz46p6,108121.json
108375,ZIKA Antiviral Immunofluorescence staining Protocol,zika-antiviral-immunofluorescence-staining-protoco-dm3x48pn,108375.json
108579,Custom Indexing for Nanopore Sequencing Platform,custom-indexing-for-nanopore-sequencing-platform-dnab5aan,108579.json
10867,EMP DNA Extraction Protocol,emp-dna-extraction-protocol-nutdewn,10867.json
10903,Western Blot,western-blot-nvxde7n,10903.json
109115,"Controls, imaging, and analysis of AAV-Zombie and SpECTr experiments",controls-imaging-and-analysis-of-aav-zombie-and-sp-dns35egn,109115.json
109394,MERS-CoV Antiviral Immunofluorescence staining Protocol,mers-cov-antiviral-immunofluorescence-staining-pro-dn3s5gne,109394.json
10945,Isolation of mouse thoracic aorta for Western blot,isolation-of-mouse-thoracic-aorta-for-western-blot-nw9dfh6,10945.json
10946,Protein extraction from aortas or VSMCs for Western blot,protein-extraction-from-aortas-or-vsmcs-for-wester-nxadfie,10946.json
110031,Step-by-step protocol for loading Calcein-AM  into extracellular vesicles from mammalian cells for its clear visualization with a fluorescence microscope coupled to a deconvolution system,step-by-step-protocol-for-loading-calcein-am-into-dppp5mmn,110031.json
11015,Silique RNA Extraction,silique-rna-extraction-nzfdf3n,11015.json
110435,Zika Virus NS2B-NS3 protease fusion protein his10-tagged protein expression and purification: large scale 1 L cultures,zika-virus-ns2b-ns3-protease-fusion-protein-his10-dp4b5qsn,110435.json
110482,Purificación de GFP en reacciones cell-free para actividad docente // GFP purification from cell-free reactions for educational purpose,purificaci-n-de-gfp-en-reacciones-cell-free-para-a-dp5s5q6e,110482.json
110604,Infiltration and rubbing with BSMV or FoMV vectors for VMRG,infiltration-and-rubbing-with-bsmv-or-fomv-vectors-dp9k5r4w,110604.json
11160,"High purity, high molecular weight DNA extraction from rust spores via CTAB based DNA precipitation for long read sequencing",high-purity-high-molecular-weight-dna-extraction-f-n5ydg7w,11160.json
11176,Preparation of Single-Cell RNA-Seq Libraries for Next Generation Sequencing,preparation-of-single-cell-rna-seq-libraries-for-n-n6gdhbw,11176.json
111973,Crystallisation of Enterovirus D68 3C protease in space group P21 used for follow up compounds,crystallisation-of-enterovirus-d68-3c-protease-in-drkd54s6,111973.json
11209,DNA size selection (>3-4kb) and purification of DNA using an improved homemade SPRI beads solution.,dna-size-selection-3-4kb-and-purification-of-dna-u-n7hdhj6,11209.json
112297,"Preparation of level 0 modules for Golden Gate assembly in pET28g, a new tool to prepare pET-based vectors for protein expression in Escherichia coli",preparation-of-level-0-modules-for-golden-gate-ass-drwh57b6,112297.json
113158,Expression and purification of truncated Zika virus NS5 RNA-Dependent RNA Polymerase for structural studies,expression-and-purification-of-truncated-zika-viru-dsre6d3e,113158.json
11348,Plate assay for quantification of Root System Architecture of Arabidopsis seedlings,plate-assay-for-quantification-of-root-system-arch-pbudinw,11348.json
11416,Primer design protocol for qPCR primers when testing the natural variation in expression,primer-design-protocol-for-qpcr-primers-when-testi-pdydi7w,11416.json
114566,mAO-MPFM Operation and Image Acquisition,mao-mpfm-operation-and-image-acquisition-dt5e6q3e,114566.json
115161,Metabolomic analysis of polyamines,metabolomic-analysis-of-polyamines-dupz6vp6,115161.json
115855,VECTORL,vectorl-dvdp625n,115855.json
116568,Genotyping Atp13a4(KO) mice,genotyping-atp13a4-ko-mice-dv3y68pw,116568.json
11697,Procedure for Western blot,procedure-for-western-blot-pnrdmd6,11697.json
117844,Immunostaining Mouse Tissue,immunostaining-mouse-tissue-dxbu7inw,117844.json
117922,Lentiviral vector production and primary astrocyte transduction,lentiviral-vector-production-and-primary-astrocyte-dxea7jae,117922.json
117972,RNA isolation and cDNA synthesis,rna-isolation-and-cdna-synthesis-dxfu7jnw,117972.json
117978,RT-qPCR (primary cells),rt-qpcr-primary-cells-dxf27jqe,117978.json
117980,Astrocyte morphology assessment in astrocyte-neuron co-cultures,astrocyte-morphology-assessment-in-astrocyte-neuro-dxf47jqw,117980.json
118160,Multiplexed immunofluorescence and RNA-FISH,multiplexed-immunofluorescence-and-rna-fish-dxmq7k5w,118160.json
11895,Semi-dry western blot and chemiluminescent detection,semi-dry-western-blot-and-chemiluminescent-detecti-puxdnxn,11895.json
119519,"van Veen et al, 2026",van-veen-et-al-2026-dyx77xrn,119519.json
119623,Confocal microscopy to assess TelC and iGluSnFR expression in fixed mouse brain slices,confocal-microscopy-to-assess-telc-and-iglusnfr-ex-dy3f7yjn,119623.json
11982,A General Protocol for Western Blotting Mammalian Cell Lysates,a-general-protocol-for-western-blotting-mammalian-pxndpme,11982.json
119833,Crystallisation of Enterovirus D68 3C protease apo structure and fragment screen in space group P212121 (PDB code 8CNX),crystallisation-of-enterovirus-d68-3c-protease-apo-dy9z7z76,119833.json
120168,Enterovirus D68 3C protease small scale expression and purification protocol,enterovirus-d68-3c-protease-small-scale-expressio-dzkg74tw,120168.json
120859,Immunolabeling of endogenous proteins for fluorescence microscopy in cultured mammalian cells,immunolabeling-of-endogenous-proteins-for-fluoresc-dz93798n,120859.json
120887,Live-cell assay to detect the dynamics of protein interactions,live-cell-assay-to-detect-the-dynamics-of-protein-d2ax8afn,120887.json
12096,Hornwort RNA extraction,hornwort-rna-extraction-p28dqhw,12096.json
121114,GIT1 (full length) protein purification (Baculovirus),git1-full-length-protein-purification-baculovirus-d2h28b8e,121114.json
121115,High-throughput Hisx6-tagged protein purification,high-throughput-hisx6-tagged-protein-purification-d2h38b8n,121115.json
121155,Multiple-target tracing (MTT) algorithm probes molecular dynamics at cell surface,multiple-target-tracing-mtt-algorithm-probes-molec-d2jb8cin,121155.json
121254,Production of polyclonal antibodies against protein antigens purified by electroelution from SDS-polyacrylamide gel,production-of-polyclonal-antibodies-against-protei-d2ne8dbe,121254.json
121316,Aptamer-facilitated Protein Isolation from Cells,aptamer-facilitated-protein-isolation-from-cells-d2qc8dsw,121316.json
121326,Generating highly concentrated yeast whole cell extract using low-cost equipment.,generating-highly-concentrated-yeast-whole-cell-ex-d2qn8dve,121326.json
121354,Non-denaturing purification of alpha-Synuclein from erythrocytes,non-denaturing-purification-of-alpha-synuclein-fro-d2ri8d4e,121354.json
121380,Detection of iNOS/TNF in cells of the small intestinal lamina propria by FACS,detection-of-inos-tnf-in-cells-of-the-small-intest-d2sc8eaw,121380.json
121383,Detection of small intestinal IgA+TNFα+iNOS+ CELLS by Immunofluorescence Microscopy (IF),detection-of-small-intestinal-iga-tnf-inos-cells-b-d2sf8ebn,121383.json
121411,Purification of His-tagged membrane proteins from detergent-solubilized membranes,purification-of-his-tagged-membrane-proteins-from-d2tb8ein,121411.json
121550,Lipid Binding by Disordered Proteins,lipid-binding-by-disordered-proteins-d2xn8fme,121550.json
121626,Detecting changes in the mitochondrial membrane potential by quantitative fluorescence microscopy,detecting-changes-in-the-mitochondrial-membrane-po-d2z28f8e,121626.json
121912,Expression and purification of recombinant human L-OPA1 using  BmNPV bacmid-silkworm expression system,expression-and-purification-of-recombinant-human-l-d3ay8ifw,121912.json
122032,Multiplexed Imaging of Neuronal Synapses Using Nucleic Acid Probe Exchange,multiplexed-imaging-of-neuronal-synapses-using-nuc-d3eq8jdw,122032.json
122092,Quantitative analysis of PARP inhibitor toxicity by multidimensional fluorescence microscopy,quantitative-analysis-of-parp-inhibitor-toxicity-b-d3gk8juw,122092.json
122128,Quantifying membrane protein oligomerization using two-dimensional fluorescence intensity fluctuation spectrometry,quantifying-membrane-protein-oligomerization-using-d3hq8j5w,122128.json
122202,Live imaging of mRNA using Pepper RNA-stabilized fluorogenic proteins,live-imaging-of-mrna-using-pepper-rna-stabilized-f-d3j28kqe,122202.json
122211,Use of Tri-Chloroacetic Acid /Acetone/polyethylene glycol for protein purification from HIV-1 infected human plasma,use-of-tri-chloroacetic-acid-acetone-polyethylene-d3kb8ksn,122211.json
122213,Use of organic solvents for protein purification from HIV-1 infected human plasma,use-of-organic-solvents-for-protein-purification-f-d3kd8ks6,122213.json
122284,Optogenetic control of mRNA localization and translation in live cells,optogenetic-control-of-mrna-localization-and-trans-d3nk8mcw,122284.json
122300,Fixation and staining of Drosophila L1 larval brains for immunofluorescence microscopy and preparation for live imaging,fixation-and-staining-of-em-drosophila-em-l1-larva-d3n48mgw,122300.json
122408,A step-by-step protocol for performing LIVE-PAINT super-resolution imaging of proteins in live cells using reversible peptide-protein interactions,a-step-by-step-protocol-for-performing-live-paint-d3sg8nbw,122408.json
122420,Bacterial expression and protein purification of mini-fluorescence-activating proteins,bacterial-expression-and-protein-purification-of-m-d3su8new,122420.json
122453,Chemiluminescence imaging of cells (CLIC),chemiluminescence-imaging-of-cells-clic-d3tv8nn6,122453.json
122532,Simultaneous spatiotemporal computational super-resolution and multi-parametric fluorescence microscopy,simultaneous-spatiotemporal-computational-super-re-d3wc8paw,122532.json
12285,In situ PCR using leaf epidermal peels,in-situ-pcr-using-leaf-epidermal-peels-p85dry6,12285.json
123150,Crystallisation of MERS-CoV Mpro in C2221  used for compound soaking,crystallisation-of-mers-cov-mpro-in-c2221-used-for-d4hn8t5e,123150.json
123198,Dengue Virus Serotype 2 NS2B-NS3 protease fusion protein Avi-tagged (Biotinylated) protein expression and purification: large scale 1 L cultures,dengue-virus-serotype-2-ns2b-ns3-protease-fusion-p-d4i68uhe,123198.json
12325,Western blotting,western-blotting-qaddsa6,12325.json
12327,Total RNA extraction,total-rna-extraction-qafdsbn,12327.json
124533,Protocol for α-Synuclein Purification and Ionic Strength Modification Pivotal to High Yield and Reproducibility,protocol-for-synuclein-purification-and-ionic-stre-d5uv86w6,124533.json
126028,CRAFTseq,craftseq-d7bk9ikw,126028.json
12870,Inoculating and harvesting fungal isolates on cellophane overlay,inoculating-and-harvesting-fungal-isolates-on-cell-qtedwje,12870.json
12935,RNA extraction for the Betta splendens genome,rna-extraction-for-the-betta-splendens-genome-qvfdw3n,12935.json
13387,Symbiodinium-enriched RNA extraction from Aiptasia holobiont,symbiodinium-enriched-rna-extraction-from-aiptasia-rbjd2kn,13387.json
13447,Western Blotting Protocol,western-blotting-protocol-rdfd23n,13447.json
13595,Western Blot,western-blot-rh3d38n,13595.json
13652,Dimethoxypropane Dehydration of Plant Tissue,dimethoxypropane-dehydration-of-plant-tissue-rjud4nw,13652.json
13955,"RNA extraction, reverse transcription and PCR for TMSB4X",rna-extraction-reverse-transcription-and-pcr-for-t-rvbd62n,13955.json
14001,12% SDS-PAGE Western Blot,12-sds-page-western-blot-rwrd7d6,14001.json
14016,Plant Tissue Fixation,plant-tissue-fixation-rw8d7hw,14016.json
1418,SPOT DNA Extraction from 142mm Durapore 0.22µm Filters,SPOT-DNA-Extraction-from-142mm-Durapore-0-22-m-Fil-dmi44d,1418.json
14479,Western Blot Protocol (Cell Lysate) and Creating Running Gel,western-blot-protocol-cell-lysate-and-creating-run-sdpea5n,14479.json
14737,Murine CD8 T cell transduction,murine-cd8-t-cell-transduction-smrec56,14737.json
14801,CRISPR Editing of Immortalized Cell Lines with RNPs using Neon Electroporation,crispr-editing-of-immortalized-cell-lines-with-rnp-spredm6,14801.json
14813,RNA extraction from adult Aiptasia,rna-extraction-from-adult-aiptasia-sp5edq6,14813.json
14842,"Simultaneous extraction of RNA, DNA and protein from canine mast cell tumour and skin RNAlater-preserved biopsies",simultaneous-extraction-of-rna-dna-and-protein-fro-sq2edye,14842.json
14864,Limiting Dilution & Clonal Expansion,limiting-dilution-clonal-expansion-srqed5w,14864.json
14883,Qiagen - RNeasy mini kit for cells,qiagen-rneasy-mini-kit-for-cells-ssbeean,14883.json
14884,Qiagen- RNeasy Mini Kit for tissue,qiagen-rneasy-mini-kit-for-tissue-ssceeaw,14884.json
14889,RNA Extraction with Trizol for cells,rna-extraction-with-trizol-for-cells-ssheeb6,14889.json
14925,RNA extraction with trizol for tissues,rna-extraction-with-trizol-for-tissues-stmeek6,14925.json
15251,Immunoblot based assay for simultaneous densitometric determination of ubiquitin forms in Drosophila melanogaster,immunoblot-based-assay-for-simultaneous-densitomet-s5teg6n,15251.json
15824,Western Blotting,western-blotting-tpqemmw,15824.json
16135,Fast and inexpensive protocols for consistent extraction of high quality DNA and RNA from challenging plant and fungal samples for high-throughput SNP genotyping and sequencing applications,fast-and-inexpensive-protocols-for-consistent-extr-tzfep3n,16135.json
16675,CRISPR Editing of Immortalized Cells with RNPs using Lipofection,crispr-editing-of-immortalized-cells-with-rnps-usi-uibeuan,16675.json
16703,Transfection of O. marina using particle bombardment,transfection-of-o-marina-using-particle-bombardmen-ui7euhn,16703.json
17517,In vitro synthesized mRNA transfection to Perkinsus marinus,in-vitro-synthesized-mrna-transfection-to-perkinsu-vcme2u6,17517.json
17741,DNA extraction from whatman filter papers,dna-extraction-from-whatman-filter-papers-vjme4k6,17741.json
1778,1% SDS in DNA Buffer,1-SDS-in-DNA-Buffer-dys7wd,1778.json
1779,CTAB mix,CTAB-mix-dyt7wm,1779.json
1780,Sodium acetate solution,Sodium-acetate-solution-dyu7wv,1780.json
18043,Purification of total RNA (microRNA and mRNA) from liquid samples,purification-of-total-rna-microrna-and-mrna-from-l-vu3e6yn,18043.json
1847,Fixation of marine samples for flow cytometry sorting,Fixation-of-marine-samples-for-flow-cytometry-sort-d2x8fm,1847.json
18917,RNA isolation and cDNA synthesis from the marine ichthyosporean Sphaeroforma arctica,rna-isolation-and-cdna-synthesis-from-the-marine-i-wqdfds6,18917.json
19346,RNA Sequencing of Porine Ganglia and brainstem,rna-sequencing-of-porine-ganglia-and-brainstem-w5sfg6e,19346.json
19616,Murashige and Skoog (MS) agar,murashige-and-skoog-ms-agar-xd8fi9w,19616.json
1993,Genomic DNA extraction from mosquitoes,Genomic-DNA-extraction-from-mosquitoes-d7h9j5,1993.json
19951,Western blotting of hypothalamic proteins,western-blotting-of-hypothalamic-proteins-xqpfmvn,19951.json
20048,Transfection of primary endothelial cells with siRNA,transfection-of-primary-endothelial-cells-with-sir-xtqfnmw,20048.json
20137,Bulk Calling Cards Library Preparation,bulk-calling-cards-library-preparation-xwhfpb6,20137.json
20317,Transfectionof constructs in diplonemids to block NHEJ pathway using the inhibitors of KU70/80 proteins.,transfectionof-constructs-in-diplonemids-to-block-x35fqq6,20317.json
20321,Tranfection of sgRNA using SpCas9 containing plasmids to generate cell lines with Cas9,tranfection-of-sgrna-using-spcas9-containing-plasm-x39fqr6,20321.json
20349,"Transfection of constructs in diplonemids to enhance the HR pathway, using RS-1 (3-(benzylamino) sulfonyl)-4-bromo-N-(4-bromophenyl) benzamide).",transfection-of-constructs-in-diplonemids-to-enhan-x45fqy6,20349.json
20493,Western blot analysis,western-blot-analysis-x9mfr46,20493.json
20514,U Michigan - Retinal Cell Death,u-michigan-retinal-cell-death-yaafsae,20514.json
20620,Case - Glycerol and Glucose Assays by GC-mass spectrometry,case-glycerol-and-glucose-assays-by-gc-mass-spectr-ydkfs4w,20620.json
20626,Case - Heavy Water Assays by GC-mass spectrometry,case-heavy-water-assays-by-gc-mass-spectrometry-ydsfs6e,20626.json
20649,Case - Lipid Analysis Assay by GC-mass spectrometry,case-lipid-analysis-assay-by-gc-mass-spectrometry-yehftb6,20649.json
20973,Microwell-based Single-Cell RNA-seq,microwell-based-single-cell-rna-seq-yqmfvu6,20973.json
21067,UC Davis - Metabolomics: Sample preparation for GCTOF analysis,uc-davis-metabolomics-sample-preparation-for-gctof-ytjfwkn,21067.json
21071,UC Davis - Metabolomics: Sample preparation for Lipidomics,uc-davis-metabolomics-sample-preparation-for-lipid-ytpfwmn,21071.json
21174,RNA extraction with PGTX,rna-extraction-with-pgtx-ywwfxfe,21174.json
21294,Quantifying Fluorescent Cells in Mammalian Cell Tissue Culture,quantifying-fluorescent-cells-in-mammalian-cell-ti-y2nfyde,21294.json
21331,Human Islet Microvasculature Immunofluorescence in Optically Cleared Samples,human-islet-microvasculature-immunofluorescence-in-y3tfynn,21331.json
21342,Preparing water samples for analysis using ultrahigh resolution mass spectrometry,preparing-water-samples-for-analysis-using-ultrahi-y36fyre,21342.json
21525,PEI Transfection,pei-transfection-y9vfz66,21525.json
21615,CUT&RUN: Targeted in situ genome-wide profiling with high efficiency for low cell numbers,cut-amp-run-targeted-in-situ-genome-wide-profiling-zcpf2vn,21615.json
21687,Abeoforma whisleri transient transfection protocol,abeoforma-whisleri-transient-transfection-protocol-zexf3fn,21687.json
21735,PHYTOHORMONE PROFILING BY LIQUID CHROMATOGRAPHY COUPLED TO MASS SPECTROMETRY (LC/MS),phytohormone-profiling-by-liquid-chromatography-co-zgff3tn,21735.json
21736,FLAVONOID PROFILING BY LIQUID CHROMATOGRAPHY COUPLED TO MASS SPECTROMETRY (LC/MS),flavonoid-profiling-by-liquid-chromatography-coupl-zggf3tw,21736.json
21886,Biolistic Transfection in Euplotes crassus (provisional),biolistic-transfection-in-euplotes-crassus-provisi-zk6f4ze,21886.json
219562,Dengue virus serotype 3 NS2B-NS3 protease fusion construct using parallel rapid protein expression and purification: 100 mL cultures,dengue-virus-serotype-3-ns2b-ns3-protease-fusion-g2nibydcf,219562.json
219563,Dengue virus serotype 4 NS2B-NS3 protease fusion construct: 100 mL cultures,dengue-virus-serotype-4-ns2b-ns3-protease-fusion-c-g2njbydcp,219563.json
219570,Fluorescence assay of EV-D68 3C protease activity measurement for screening against antiviral molecules,fluorescence-assay-of-ev-d68-3c-protease-activity-g2nsbydef,219570.json
219619,West Nile Virus NS2B-NS3 inactive fusion protease expression and purification: large scale 1 L cultures,west-nile-virus-ns2b-ns3-inactive-fusion-protease-g2qbbydsp,219619.json
219709,Human GBA1 Gene PCR and Sanger Sequencing Protocols,human-gba1-gene-pcr-and-sanger-sequencing-protocol-g2s5byeg7,219709.json
21978,Cell dissociation of fresh human lung tissue for single-cell RNA-seq,cell-dissociation-of-fresh-human-lung-tissue-for-s-zp2f5qe,21978.json
220924,Expression and Purification of TMEM55B 80-166 2CysMUT,expression-and-purification-of-tmem55b-80-166-2cys-g3y4bypyx,220924.json
22097,Colonic epithelial cell isolation for Single Cell RNA-sequencing,colonic-epithelial-cell-isolation-for-single-cell-ztrf6m6,22097.json
221341,5-ethynyl uridine labeling of nascent mitochondrial genome transcription,5-ethynyl-uridine-labeling-of-nascent-mitochondria-g4d5bys87,221341.json
22144,Single-nucleus isolation from frozen human lung tissue for single-nucleus RNA-seq,single-nucleus-isolation-from-frozen-human-lung-ti-zu8f6zw,22144.json
22211,FIN-Seq (Frozen Immunolabeled Nuclei Sequencing),fin-seq-frozen-immunolabeled-nuclei-sequencing-zxbf7in,22211.json
22334,Transfection of Crypthecodinium cohnii using labelled DNA,transfection-of-crypthecodinium-cohnii-using-label-z26f8he,22334.json
22566,gmcSCRB-seq protocol,gmcscrb-seq-protocol-2aegabe,22566.json
22570,Euplotes crassus transfection using Lipofectamine 2000 as vehicle (provisional),euplotes-crassus-transfection-using-lipofectamine-2aigace,22570.json
22575,Euplotes crassus transfection using FuGene HD Transfection Reagent as vehicle (provisional),euplotes-crassus-transfection-using-fugene-hd-tran-2apgadn,22575.json
22589,Single Nuclei extraction from frozen brain,single-nuclei-extraction-from-frozen-brain-2a5gag6,22589.json
22593,Transfection by Electroporation in Euplotes crassus,transfection-by-electroporation-in-euplotes-crassu-2a9gah6,22593.json
226461,CRISPR editing of LSD genes in H9-AAVS1-TRE3G-NGN2-TMEM192-3xHA cells,crispr-editing-of-lsd-genes-in-h9-aavs1-tre3g-ngn2-g9d5bz287,226461.json
227887,Preparation of chemically competent cells using modified Hanahan method,preparation-of-chemically-competent-cells-using-mo-haspb2edp,227887.json
229372,Denaturing On-bead Digestion for LC-MS/MS,denaturing-on-bead-digestion-for-lc-ms-ms-hb84b2ryx,229372.json
23157,SmartSeq2 for HTP Generation of Bulk RNA Libraries,smartseq2-for-htp-generation-of-bulk-rna-libraries-2uvgew6,23157.json
23158,SmartSeq2 for HTP Generation of FACS Sorted Single Cell Libraries,smartseq2-for-htp-generation-of-facs-sorted-single-2uwgexe,23158.json
23275,DABCO Mounting Slide Protocol for Drosophila melanogaster embryos,dabco-mounting-slide-protocol-for-drosophila-melan-2yjgfun,23275.json
233178,"Expression and Purification of the Rice Clock protein, GIGANTEA",expression-and-purification-of-the-rice-clock-prot-hfx2b3pqf,233178.json
23330,"Simultanuous DNA and RNA extraction from various tissues of the two oyster species, Crassostrea gigas and Ostrea edulis, for metabarcoding",simultanuous-dna-and-rna-extraction-from-various-t-22aggae,23330.json
23387,Instructional tutorial for using demuxlet,instructional-tutorial-for-using-demuxlet-233ggqn,23387.json
234466,Optical tissue clearing of mouse organs and zebrafish using CUBIC (H)L/CUBIC RA and ScaleCUBIC-1/ScaleCUBIC-2 reagents,optical-tissue-clearing-of-mouse-organs-and-zebraf-hg8ab3zsf,234466.json
24057,Mammalian Cell Culture: Refreshing Media,mammalian-cell-culture-refreshing-media-3qzgmx6,24057.json
24060,Mammalian Cell Culture: Subculturing,mammalian-cell-culture-subculturing-3q4gmyw,24060.json
24123,Biochemical Measures of Neuropathy - Western Blot Stripping,biochemical-measures-of-neuropathy-western-blot-st-3s3gngn,24123.json
24161,Combined Single-Cell Measurement of Cytokine mRNA and Protein in Immune Cells,combined-single-cell-measurement-of-cytokine-mrna-3t9gnr6,24161.json
243375,"Preparation of Positive Controls and Inhibition Assay for the Six-plex Digital PCR Assay targeting SARS-CoV-2 N1, SARS-CoV-2 N2, MHV, Influenza A Virus, Influenza B Virus, and Respiratory Syncytial Virus",preparation-of-positive-controls-and-inhibition-as-hrwpb57dp,243375.json
243376,"Quantification of the Six-plex Digital PCR Assay targeting SARS-CoV-2 (N1 and N2), MHV, IAV, IBV, and RSV",quantification-of-the-six-plex-digital-pcr-assay-t-hrwqb57dx,243376.json
243378,"Quantification of the Inhibition in the Six-plex Digital PCR Assay targeting SARS-CoV-2 (N1 and N2), MHV, IAV, IBV, and RSV",quantification-of-the-inhibition-in-the-six-plex-d-hrwsb57ef,243378.json
24345,Flow Cytometry Analysis of Human Neutrophil Extracellular Traps in vitro,flow-cytometry-analysis-of-human-neutrophil-extrac-3zzgp76,24345.json
243545,"Purification of SerMNucA (Benzonase/Turbonuclease) as 10xHis, MBP or myc-tag fusions",purification-of-sermnuca-benzonase-turbonuclease-a-hr3zb58p7,243545.json
243820,Sequencing bacterial and fungal metabarcode with PCR primer based barcoding and Nanopore v2026,sequencing-bacterial-and-fungal-metabarcode-with-p-hsckb6aux,243820.json
244003,Measuring Mitochondrial Membrane Potential in iNeurons Through Live-Cell TMRM Imaging,measuring-mitochondrial-membrane-potential-in-ineu-hsibb6cap,244003.json
244065,Collection of mouse cerebrospinal fluid from the cisterna magna,collection-of-mouse-cerebrospinal-fluid-from-the-c-hsj9b6cr7,244065.json
244114,MSD Proinflammatory cytokine Panel 1 (mouse) Kit,msd-proinflammatory-cytokine-panel-1-mouse-kit-hsmsb6c6f,244114.json
244157,Asymmetric PCR for ssDNA Template Generation,asymmetric-pcr-for-ssdna-template-generation-hsn5b6dg7,244157.json
244183,Fragment Analyzer Operation for PCR Products,fragment-analyzer-operation-for-pcr-products-hspxb6dpp,244183.json
244196,"RNAscope In Situ Hybridization, Imaging, and Quantification",rnascope-in-situ-hybridization-imaging-and-quantif-hsqcb6dsx,244196.json
244198,Phospho-α-Synuclein Staining,phospho-synuclein-staining-hsqeb6dtf,244198.json
244199,Label Free Quantitative (LFQ) Mass Spectrometry Analysis,label-free-quantitative-lfq-mass-spectrometry-anal-hsqfb6dtp,244199.json
245547,Brightfield image acquisition.,brightfield-image-acquisition-ht2jb6qcp,245547.json
25035,Thawing of human pluripotent stem cells,thawing-of-human-pluripotent-stem-cells-4pjgvkn,25035.json
